	Test text	Test emotions	Predicted emotions
544	i feel really inadequate and i just wish i had enough brains to atleast pretend to know what i was doing	sadness	sadness
545	i didn t sleep well last night and i woke up feeling to borrow a wonderful phrase from a book i read rough as a badger s arse	happy	happy
546	i feel like i missed most of my precious summer	sadness	sadness
547	im all about helping people integrate their feelings thoughts and actions through creative expression	happy	happy
548	i am feeling the self hate going or when i find myself feeling hateful of someone else all i have to do to feel the power and compassion of spirit once more is by remembering i am a spiritual being	anger	anger
549	at a certain situation i felt myself neglected and undeservedly harmed	anger	sadness
550	im feeling a little apprehensive about this party	fear	fear
551	i feel like youre ashamed to be seen with me in public because im bigger than you	sadness	sadness
552	i just don t feel thankful rel bookmark some days i just don t feel thankful posted on a href http babychaser	happy	happy
553	i mention that im feeling cranky	anger	anger
554	im not sure why at i still feel as if i need to be socially accepted	happy	happy
555	i feel extremely honoured to have received such a prestigious award	happy	happy
556	i think nicely sums up the feeling of talking too much about artistic pursuits	happy	happy
557	i went ahead and did the shooting afterwards a few of the guys asked me to go out for drinks and i agreed i knew i should have rang you tried to work things out with you but i was angry and feeling stubborn	anger	anger
558	i know it so difficult especially when you feel you have been wronged	anger	anger
559	i was feeling pretty low about that but joan saw my disappointment and lifted my spirit with corinthians	sadness	sadness
560	i feel decently intelligent	happy	happy
561	i don t know how i feel about this but i am beyond thrilled that the fall show will happen in paris	happy	happy
562	is voice as usual is perfect but is like you know yomis voice can do better and you kind of feel frustrated because this song is not the best and doesnt highlight yomis voice properly	anger	anger
563	i know i won t last long being ambulatory i feel it even though i try to be as positive as i possibly can	happy	happy
564	i feel to glad that this blog must be helpful knowledgeable and explorable	happy	happy
565	i make the trip i feel a strange combination of excitement and dread	fear	fear
566	i somehow feel more vulnerable without it	fear	fear
567	i came to this realization that i was often feeling blamed or being blamed for things that were utterly outside of my control	sadness	sadness
568	She was acting like some idiotic schoolgirl , not an intelligent woman , she thought in exasperat	anger	happy
569	i had stated to her the reason i feel so fearful is because i feel unsafe	fear	fear
570	I want you and Sheila to know how very much I appreciate the kindness shown to me in my earlier mood of despondenc	sadness	sadness
571	i feel very blessed and lucky to have found a true old soul	happy	happy
572	i have tried sometimes to spend time with them to make them feel less miserable in school and have usually had my offers thrown back in my face	sadness	sadness
573	im feeling a lot less ugly duckling and a lot more a href http	sadness	sadness
574	im inclined to believe that im simply too lazy to feel particularly greedy	anger	anger
575	i feel that i no longer have to do things to look cool	happy	happy
576	i often feel dissatisfied when i don t have at least one project going on	anger	anger
577	i me still feeling cold from the swim which doesnt really count as one earlier on	anger	anger
578	i knew from high school and he s pretty fuckin chill says that the girl feels insulted and threatened by the blog that i wrote and would like me to apologize and if i offended her i m sorry	anger	anger
579	im actually feeling a little smug	happy	happy
580	i did not feel love from the men who abused	sadness	sadness
581	i then said i dont know what you believe the most important day you have ever lived is but i want to share with you what i feel the most important day of your life is	happy	happy
582	i confess to feeling a bit nervous now though there are some very talented people in the group	fear	fear
583	id feel frantic	fear	fear
584	i hope the excitement you feel about learning today continues on throughout your life and that the smart silly sensitive and creative young girl you are now grows up to be a smart silly sensitive and creative young woman	happy	happy
585	i left kicking myself for the awkwardness of my departure but feeling triumphant at not only having succeeded at my mission but having enjoyed myself as well	happy	happy
586	i feel very glad as in facebook we have many cricket related pages which are providing news views score update of cricket and website like cricnepal cricket	happy	happy
587	i can hear the hum you make at the feeling of my warmth and my legs shift a little in a strange need	fear	fear
588	i do not give flowers all the time as i feel that makes me a wuss and needy	sadness	sadness
589	i feel it was perfect as a jumping off point for what is to come	happy	happy
590	i was feeling shitty inside but never show it	sadness	sadness
591	i feel very unhappy and incomplete	sadness	sadness
592	Or was it just fear that paralysed her , like a frightened rabb	fear	fear
593	i was feeling stressed or run down to support the immune system	anger	anger
594	i find myself feeling irritable or depleted i run through a mental checklist have i worked out	anger	anger
595	i do feel that they are greedy and money hungry absolutely	anger	anger
596	i don t feel agitated some part of me thinks that i ve finally managed to keep my emotions in check	fear	anger
597	i feel fucked tape re recorded	anger	anger
598	i feel very indecisive about it	fear	fear
599	i always liked the winter season i feel that im well adapted to cold weather	happy	anger
600	im feeling happy sad or angry	happy	sadness
601	i woke up on a beautiful sunday morning feeling restless and miserable	fear	fear
602	i feel myself being sucked back in and this vicious cycle starts again every time you open the door and every time you show me more you back back any hints of love what is it that youre afraid of	anger	fear
603	im trying to do better with my spending but i feel so deprived	sadness	sadness
604	i just wanted to apologize to you because i feel like a heartless bitch	anger	anger
605	i have to go to a meeting and i m sleepy a lot of times i will fall asleep in that meeting or i will fight to stay awake and i feel like i m being tortured to stay awake	fear	anger
606	i need to feel my ears agonized by the high treble of a guitar amp turned all the way up	sadness	sadness
607	i feel frustrated and upset and demotivated when i dont see a whole picture of the curriculum that im studying for example english class	anger	anger
608	i am surprised that she is shocked by what i have said and begin to feel dismayed as she becomes increasingly sympathetic in her responses towards me	sadness	sadness
609	i got off the phone feeling numb	sadness	sadness
610	i must confess im feeling a little overwhelmed	fear	fear
611	i feel disheartened because i trust people to try to want to get to know me to not see through me and think i am boring or anything	sadness	sadness
612	i get what she s saying and i feel somewhat remorseful for not being the kind of friend or giving the kind of support she wanted or needed throughout the past years of our friendship oh yes it goes back that far	sadness	sadness
613	i often find myself feeling assaulted by a multitude of sense impressions	fear	fear
614	i ran despite feeling rotten and i m glad i did as well as i did but i really want to do better	sadness	sadness
615	i feel the most discouraged lonely and stressed	sadness	sadness
616	i resent you as much as i do that i feel needlessly and unreasonably angry whenever you re around that the slightest idiosyncrasies of yours make me sick	anger	anger
617	i always feel rushed during these emails which i dont like but asa este	anger	anger
618	i am feeling rather heartless because i recently heard the words unconditional love and could not find it in myself	anger	anger
619	i feel blackburn will be a stubborn team against blackpool and holloway will want a positive reaction in this game even if they don get a result	anger	anger
620	i am feeling more energetic more alive happier than i have in a long time	happy	happy
621	i can feel myself getting agitated at all the constant noise chatter	fear	fear
622	im also pretty upfront about stating that i feel agitated and to just give me a bit of space to deal	fear	fear
623	im feeling paranoid im well aware of the governments tactics and if they put it on the books they want to use it	fear	fear
624	i think its cos its a bit stormy out i always feel irritable and uncomfortable when its like that	anger	anger
625	i now know how many muscles does the body have because i can feel each one of them aching	sadness	sadness
626	i feel mad whats your	anger	anger
627	To my great annoyance I found myself jeal	anger	anger
628	The silence that followed was finally broken by a nervous laugh from one of the men-at-ar	fear	fear
629	im definitely feeling optimistic about this rules set	happy	happy
630	i do wear diapers once in a while but only when i m feeling casual	happy	happy
631	i often feel embarrassed for amount of time spent preparing for practice and games as compared to lessons	sadness	sadness
632	Rebecca went in search of her bag , and Lissa sent an irate look in Adam 's direct	anger	anger
633	There was a hint of exasperation in his vo	anger	anger
634	i keep the four visual design principles contrast repetition alignment and proximity in mind i feel i will be successful in future design projects	happy	happy
635	i did feel a little less inhibited in class tonight	fear	fear
636	when i found out that i had passed the last two exams by a margin of three marks	happy	happy
637	Elaine 's voice was concerned but deep inside she hoped he would not decide to go to the par	fear	fear
638	i feel fearful about being vulnerable within a relationship i will see in others that they are not trustworthy and will in turn not trust them	fear	fear
639	i feel yet you are so heartless and go for the men that will break your heart	anger	anger
640	i feel fearful of how this sensitive non confrontational driven girl will thrive as an executive in the corporate world	fear	fear
641	i was well and feeling a bit of cabin fever i unwisely convinced spooky to take me to a matin e screening of scott stewarts legion	happy	happy
642	i started this off feeling a little melancholy but i think the holy spirit must have come in and given me a hand because i feel like now i understand my situation better than i did half an hour ago	sadness	sadness
643	i feel that he s really shy with his feelings because as he talked about how he felt what happened during the trip he was really nervous and i appreciate the effort to say all of that by the way	fear	fear
644	i wish i could open up to people not feel so terrified of reactions and opinions	fear	fear
645	im feeling really really left out and somewhat dissatisfied with everything	anger	anger
646	i start to feel emotional	sadness	sadness
647	diagnosis that i have a stomache ulcer	fear	anger
648	i wake up in morning and when i go to sleep at evening i feel that seed voice in my heart that is screaming out from my empty stitched heart	sadness	sadness
649	i feel very helpless if i do not have any goal to reach nothing to achieve	fear	fear
650	Despite the sadness of the occasion , many gave way to hysterical giggling as they gradually realized that every compartment contained mourners or corpse	sadness	sadness
651	i cant believe with that statement being said that im already feeling sexually deprived	sadness	sadness
652	i close my eyes as you hold me close my body feels delicious in your grasp	happy	happy
653	i could feel my sciatica aching as my feet was swinging from the gas to the brakes pedals	sadness	sadness
654	i feel like my dream is so selfish	anger	anger
655	i started to feel dissatisfied by the ease and convenience of it all	anger	anger
656	i have a feeling that jeremy is not going to be too keen on the vinegary smell that calli is giving off right now	happy	happy
657	i thought i would grumpily curse the world and remain angry about oh i don t even really know sometimes it feels like i m angry about absolutely everything	anger	anger
658	i feel privileged in my world	happy	happy
659	i start feeling smug that ive been good about writing posts i blink and then a month vanishes	happy	happy
660	i feel so extremely disappointed by you you took me for granted	sadness	sadness
661	i feel grouchy	anger	anger
662	i feel rather stressed for the preparations for prom night	anger	anger
663	i woke up today feeling kind of strange	fear	fear
664	i am feeling rushed or overwhelmed to have the perfect house that my brain explodes and all proper decision making skills get lost in the debris	anger	anger
665	i have been perspiring like crazy even in school that makes me feel so dirty and muddy	sadness	sadness
666	i feel which is ludicrous	sadness	happy
667	i sure hope we do as i feel very isolated without any contact with home	sadness	sadness
668	i get what shes saying but on another i feel pissed that she has to have a thick skin to put up with the crap women heap on each other	anger	anger
669	i feel hesitant about talking about this	fear	fear
670	i feel resentful about being a giver	anger	anger
671	i need to find a way to get over this yet i feel hopeless	sadness	sadness
672	I had been working for more than an hour and my wrists ached from the continuous chopping , but I was filled with an immense exhilarat	happy	happy
673	i was thinking about how you all were watching general conference and i was feeling a bit jealous	anger	anger
674	i hope my condescending attitude will allow present me to feel offended and as such remember that the amount of sunlight affects plant growth	anger	anger
675	i wasnt feeling when i got on board but its really not pleasant	happy	happy
676	i also feel like i am being selfish in not being grateful for the life i do have and the amazing things in it	anger	anger
677	i feel that i dont have to get so envious	anger	anger
678	i feel honoured and great because through this work experience i am able to determine what i will do after graduating	happy	happy
679	when i saw all the starving people in ethiopia on tv it felt awful to see such suffering	anger	sadness
680	i am feeling hostile enough that i even hate jim right now	anger	anger
681	i get the feeling that this could be dangerous	anger	anger
682	im feeling very doubtful about the necessity of that big coat	fear	fear
683	i could feel this depressed since im always known or labelled to be happy blessed and all	sadness	happy
684	i love and hug on him and try to make him feel valued so he can grow up a secure man in a world that is constantly shifting	happy	happy
685	i see you on the pitchers mound at our little league diamond i feel so anxious for you because it looks so isolated over there	fear	sadness
686	"` We are at our wits ; end here "" , say the airport management , ` and this has caused considerable upset and annoyance to the lady owning the number publishe"	anger	anger
687	i feel so privileged to have been able to see this amazing exhibit	happy	happy
688	i feel like the energy from the moon and the stars is just as vital both physically and emotionally as that from the sun	happy	happy
689	im personally happy grateful and embracing each moment but i feel that my patriotism is being abused	sadness	sadness
690	i feel it in the knot that forms in the back of my throat i feel it in the pit of my stomach i even feel it in my hands as they begin to go numb when my thoughts dwell on the particular shame filled topic	sadness	sadness
691	i did feel that the ending was fairly rushed and didnt provide the closure i was looking for but regardless this was historical fiction at its finest	anger	anger
692	i find im barely breathing and feel a little frantic	fear	fear
693	i am at work today in my new job still feels really strange tbh but i m sure i ll soon settle in	fear	fear
694	i just feel like weve been living in a weird time warp like its only wednesday	fear	fear
695	Wheeler 's fine face flushed with annoyance and he laug	anger	anger
696	i feel offended by this girl	anger	anger
697	i do feel welcomed	happy	happy
698	i am so pissed now lol screaming silently baby sleep beside me well thats that and tody is another day and i feel like being petty	anger	anger
699	` But other people became very sad and worrie	sadness	sadness
700	i was feeling eager to press on	happy	happy
701	i feel pretty lucky to be able to experience it again in this way	happy	happy
702	i feel that cold breeze	anger	anger
703	im feeling pretty terrible ill health and life took over and i was unable to get my package sorted out and posted in time for which i	sadness	sadness
704	i just did not feel inspired to blog and frankly creating blog posts had become a chore	happy	happy
705	Derby County 's grief at the foot of the first division continues as they went down two one at Crystal Palac	sadness	sadness
706	i feel is probably the most acceptable strategy to finding out historical past it does not imply by any means that it is the only method to study historical past we must always have this subject clear	happy	happy
707	im left with today is feeling anxious and sad and lonely	fear	fear
708	i feel productive and active but i have the balance i need	happy	happy
709	i feel less stress about doing pretty much any unpleasant obligation in life because i know that i will allow myself to mix it with things i enjoy running baking climbing coffee with girlfriends cuddling with my dog reading a book	sadness	sadness
710	i feel that wanatribe may become a vital link in my writing network	happy	happy
711	i feel im being hated	sadness	anger
712	i feel distressed music on my mind rewrite fma op	fear	fear
713	i was impressed with how dunham portrayed hannahs whole experience from trying to deny that its happening to feeling offended when you feel like someone is trying to minimise the distress its causing you	anger	anger
714	i hope i get the job cause im in desperate need of money and i feel greedy	anger	anger
715	Dear Lord , he can be stupid , thought Scarlet , as she saw Camille about to respond with the surprised gratification of a matador to whom the bull has blindly turned his fl	happy	sadness
716	i feel like the thing that i call an artistic tendency in myself is really just laziness and narcissism justifying and strengthening each other	happy	happy
717	i think i m also feeling restless	fear	fear
718	i feel its been very successful in doing that	happy	happy
719	i feel very apprehensive to adopt labels and to even identify myself as queer it seems that im still quite unclear on that subject and it keeps me feeling separate from the queer community like joel	fear	fear
720	i feel rejected and unwanted	sadness	sadness
721	i spend obsessing over my decisions and feeling anxious	fear	fear
722	i cant give you an exact reason but the book left me feeling discouraged while the movie is uplifting	sadness	sadness
723	i feel for vets the animals whose lives they save are always going to be hostile	anger	anger
724	i feel disturbed inside	sadness	sadness
725	i know that he hasnt even heard what i was saying so it makes me feel unimportant to him	sadness	sadness
726	i want her to feel humiliated and guilty	sadness	sadness
727	i really want to write and still feel like ive not been useful that day	happy	happy
728	There was no excitement about my first bra -- I even had to pay , because my mum claimed I did n't need 	happy	happy
729	i feel very resolved yet somehow very depressed	happy	happy
730	i drafted this post at least a month ago and now i m feeling quite uncertain about it	fear	fear
731	Nothing happened -- not that she 'd really thought anything would -- although there was a nervous tingle in her finge	fear	fear
732	i feel it needs to be respected for its own sake	happy	happy
733	i feel it captures the peaceful serenity which is so relaxing and inviting here in pines lake	happy	happy
734	i feel is doubtful but then again i could be wrong	fear	fear
735	i didn t want them sending me crap i d feel almost insulted to win and embarrassed for whoever made it like in oregon	anger	anger
736	i feel for you my beloved master time will tell you this is true	happy	happy
737	i am feeling really needy right now	sadness	sadness
738	i feel like a bitchy selfish idiot	anger	anger
739	i myself stood before the crowd and talk but no more recent addition to the crowd feeling a little shaky hihi training and skills needed to maintain constant the better	fear	fear
740	i feel as if my husband s life is valued and the duty of care towards him is taken seriously	happy	happy
741	i can guarantee that mondays won t feel half as dull when you prepare yourself for them with an enchanting sunday filled with good food big smiles and simple pleasures	sadness	sadness
742	i need to be wise and hide some things from him because if he really knew all about me then he would feel too safe would get bored and will go find his adventure somewhere else	happy	happy
743	i feel insulted that i was the victim in this triangle	anger	anger
744	i was already feeling kind of frantic and upset because im spending another year in that god forsaken school	fear	fear
745	i feel incredibly damaged by the way he behaved towards me and i am not prepared to be treated that way by anyone else	sadness	sadness
746	i used to feel as if i would be hated and whatever so i kept quiet about god	anger	anger
747	ive just been told that i should feel more remorseful about the whole thing and that i should hang my head low for a long while because im pond scum	sadness	sadness
748	i have carried around an audre lorde quote that i often refer to when i am feeling fearful or uncertain about things when i dare to be powerful to use my strength in the service of my vision then it becomes less and less important whether i am afraid	fear	fear
749	i hasan the man who makes me feel shy retiring and modest it s not true that there s no english word for schadenfreude	fear	fear
750	i do have a feeling it ll be a productive relationship	happy	happy
751	i notice that i feel a little apprehensive even to share all this	fear	fear
752	i even dare to say that some of the biggest stiller and or vaughn haters still could get some enjoyment out of this movie and not feel annoyed by their performances and characters	anger	anger
753	when i nearly caused a traffic accident with my car	fear	fear
754	i did the yelling the feeling of being extremely mad	anger	anger
755	i was still feeling weird about the day before	fear	fear
756	i am feeling generous at this time i will answer your questions	happy	happy
757	i pray that the eyes that read this the minds that comprehend this and the hearts that feel this will not be offended	anger	anger
758	Then he relaxes into a sorrowful smile , like when you remember someone you loved who died a long time ag	sadness	sadness
759	i pray the rosary i feel a sense of calm upon me	happy	happy
760	i feel lucky that they found it and i feel lucky that i have such competent folks taking care of me	happy	happy
761	i feel that should hurt more than is does she grimaced	sadness	sadness
762	i turned in for the night feeling about as mellow as could be expected given the circumstances	happy	happy
763	i can t help but feeling weird when opening every closet in an apartment that somebody s still living in so i didn t	fear	fear
764	i dunno i just feel that i started this blog a little shaky as i wasnt really sure about what sort of audience i was addressing or anything	fear	fear
765	i really feel pissed off as i want to spend more time with you	anger	anger
766	i feel like life gave me a plenty of changes to shine and i pissed all over each and every one of them	anger	anger
767	im gonna stop him from bugging me and get a license yes feeling very very determined right now insyallah by end of next year	happy	happy
768	i believe that with our minds focused on the daily rat race our bodies simply forget how to feel vital and free a classic case of you lose what you dont use	happy	happy
769	i am not looking forward to being beaten down to feeling like a disappointment to my husband or to the emotional pain	sadness	sadness
770	i want as much of you as you are willing to give me and i plan on making you feel very generous	happy	happy
771	i often find my self feeling offended myself when i hear people who i believe to be otherwise brilliant people following what i consider odd superstitions and strange rituals	anger	anger
772	i often feel bothered by it by my inability to stop loving people no matter how much time passes or how deeply they wrong me	anger	anger
773	i am sure it will change a number of times before i am through but just at the moment i am feeling incredibly eager to get started if only all this other pesky university work would go away and start creating my fashion master piece	happy	happy
774	i reached the halfway point of the climb and my arms were feeling good but god dam my right leg was tired	happy	fear
775	i feel homesick i read this collection of stories	sadness	sadness
776	i start feeling overwhelmed and i just want to run away and hide in the back of my closet	fear	fear
777	i spent all day the other day feeling very morose because every once in awhile it would hit me that hilmari is dead	sadness	sadness
778	im unhappy i feel irritated by everything and i yell	anger	anger
779	there was a cat on the street it had been run over and its head was open we passed beside it	anger	anger
780	""" Dear God , "" he said , beginning to get rattl"	fear	fear
781	i feel bitter to see what i ve become	anger	anger
782	i sit here sipping my pear blueberry smoothie im feeling pretty smug	happy	happy
783	ill smoke a few cigarettes because im feeling a little nervous	fear	fear
784	i feel like i have reached a plateau where im not buying as much as i use to and feeling more satisfied with my wardrobe and personal style	happy	happy
785	i feel slightly unimportant	sadness	sadness
786	i see people who physically resemble me i feel confident to strike up conversations with strangers	happy	happy
787	i feel like i have a headcold and im groggy and even more exhausted today	sadness	sadness
788	i feel horrible now as a result	sadness	sadness
789	i can feel the gap it feels like rich people status and poor people status	happy	happy
790	i wish that my family and i didnt feel this need to keep her constantly entertained when shes around because shes always bored out of her mind irregardless of what we do with her and doesnt remotely appreciate our efforts to tolerate everything about her but whatever	happy	happy
791	i can whine and pour my heart out without feeling awkward	sadness	sadness
792	i feel sad for that after all	sadness	sadness
793	i woke up this morning feeling hopeful and energetic	happy	happy
794	ive test tried dropping it and nothing happened which is supposed to be if something happened to my phone i would feel so fucked up	anger	anger
795	i may rant but i don t feel burdened in the least bit	sadness	sadness
796	im just sick of feeling unwelcome here	sadness	sadness
797	i feel i cant stop aching	sadness	sadness
798	i feel insulted offended and hurt	anger	anger
799	There is a clear lesson there for a beleagured John Major and a rattled Tory governme	fear	sadness
800	i feel like im not being the joyful me maybe its the hormones just act like how you feel never lie to yourself	happy	happy
801	i will be able to let that passion out but at present these little paintings help me feel reassured not to let my dreams or creativity die a href https lh	happy	happy
802	im super annoyed cause it hurts all the time cause i cant do my complete manicure and feel like my hands are pretty and i am kind of scared on how long this will take to heal and for my nail to grow again to stick on my finger again	fear	anger
803	i feel shaky dizzy and my stomach starts to hurt if i miss a meal	fear	fear
804	i mean weve been friends for a long time and these things are not new to me but right now it feels like all i ever want to do is just roll my eyes at everything you say and tell you how obnoxious youre being	anger	anger
805	i realise that although i originally started this blog for a specific purpose it has really grown beyond that and i shouldnt feel pressured to writing about specific things	fear	fear
806	i feel safer with people who put themselves out there because to me thats just friendly	happy	happy
807	i am feeling more and more dissatisfied and anxious about this self imposed weekly deadline	anger	anger
808	ill think i thought it was its just that theres so much mess on a daily basis that its starting to feel less like a bit of charming untidiness and more like an episode of hoarders	happy	happy
809	i feel confused and so uncertain of where im even at	fear	fear
810	i feel paranoid thinking about it just looking out the window and feeling my insomnia creep up on me	fear	fear
811	i enjoy my life and wish to help as many people as possible to feel fabulous about themselves but i can only show the way	happy	happy
812	i think we were both feeling a little drained from work as well	sadness	sadness
813	im feeling pretty shaken at the moment	fear	fear
814	i feel vulnerable and alone	fear	fear
815	i am very fascinated by it and don t feel so uptight by the many challenges life has because of it	fear	fear
816	"Your eyesight 's not good enough , "" Miss Dersingham said with exasperat"	anger	anger
817	i feel so fucking rebellious all the rules and its so regimented like if class starts at theyre taking roll at	anger	anger
818	I might have felt a little downcast at that point , only the evening had made me feel more encouraged about my prospects with her than I 'd felt for some tim	sadness	sadness
819	i feel like being selfish and keeping this foodie secret myself but why would i deny everyone else	anger	anger
820	i feel insulted that he doesnt know me better than that	anger	anger
821	i look around at the people around me and i feel almost slightly envious about how they have a way of motivating themselves sitting down and studying so hard	anger	anger
822	i feel real mellow now	happy	happy
823	i do love life and i do love to laugh and i enjoy the funny side of things because honestly if i dont look at the funny side of things i would spend the majority of my life feeling pissed off over the stupid things that people do	anger	anger
824	i sat in my feelings for a bit longer and the lord showed me some really cool truths that i want to share the fear of man is a snare but whoever trusts in the lord is kept safe	happy	happy
825	i could almost be tempted to carry on doing photography only together as it worked so well but i feel that my aching back and nervous system will persuade me to remain as a retired wedding photographer	sadness	fear
826	when i got my bsc degree with first class	happy	happy
827	i imagine you re going to come away from it feeling a little jealous you can t quite	anger	anger
828	im also feelin a lil uptight and sucky lately and you know the reason	fear	fear
829	i can only pass to my left side and i would have to occasionally reset if my weaker leg gets put in half guard but did not feel comfortable taking the back nor mount	happy	happy
830	i were not told of this news i would not feel regretful rather be unable to quiet my heart now	sadness	sadness
831	i know this is not specific for me and almost everyone else has a similar experience but i still can t help but feel appalled	anger	anger
832	i gotta feeling that tonight s gonna be a good night as i follow you home break in and hug you through the shower curtains as you shower	happy	happy
833	i dun answer him i feel very impolite but if i do answer him he will talks to u i dunno wat to do	anger	anger
834	im off to relax while feeling my sweet extremely active little baby wiggle around in my belly	happy	happy
835	My heart was thumping with disqui	fear	fear
836	ive decided that whenever i start to feel mad about tod i dig deeper into myself to find the real solution	anger	anger
837	i feel more calm and comfortable by wearing those neutral color	happy	happy
838	i have to admit that i feel the teensiest bit envious of my friends who live there	anger	anger
839	i could feel ediths meanness could feel stoners withdrawal and the cool pity of their friends	happy	happy
840	i started to feel cranky and tired up until i resupplied with these vitamins	anger	anger
841	i feel helpless about it	sadness	fear
842	i just feel like an awful mommy	sadness	sadness
843	i have turned that page i feel like there is no way of getting back my irresponcible years of carefree college	happy	happy
844	i think from being sick all last week i just got into a rut and once i feel low like that it is so hard to get back into a routine	sadness	sadness
845	i feel like i should also mention that there was some content that i wasnt thrilled with either	happy	happy
846	i am feeling strong and indulging in the strength of my body feeling good about what it can do and how it looks while its doing it	happy	happy
847	i am learning to step back and call it out to not be too proud to admit that yes i am feeling annoyed and yes i should tell you why	anger	anger
848	i spread my arms wide feeling the cold wind rushing past me feeling the rain hitting me and	anger	anger
849	i liked boys and didnt feel inhibited by them	sadness	sadness
850	i keep wondering why im hitting walls of grief and loss even while im having fun or feeling excited or enjoying some wonderful friends and pre summer time experiences	happy	happy
851	i know i dont live in new york anymore but i feel so outraged that this could happen in my city	anger	anger
852	ive found some truly wonderful people for which i feel so incredibly blessed to have met	happy	happy
853	ive vented and cried and now im a little more calm and feeling less hostile	anger	anger
854	i am jealous of andreas growing belly and the movements she can already feel i am envious of her state	anger	anger
855	i get in bed and feel thankful that i made it through one more day but then i have to get up and do it again	happy	happy
856	im feeling a little beaten down this week and im not sure why	sadness	sadness
857	i feel alone and abandoned i believe i am alone and abandoned	sadness	sadness
858	i still feel constantly paranoid and anxious i keep wanting to go on facebook to check he hasn t been back on there i keep wanting to go through the texts on his phone i feel edgy when he s at work and want him to come straight home to me	fear	fear
859	i feel like thats what vicious circle is	anger	sadness
860	i keep forgetting but shouldnt is no matter what happens i should not hesitate or feel too ashamed to come back to allah and get back on my feet	sadness	sadness
861	i feel like alcoholism is something that is widely accepted as the norm in gay culture	happy	happy
862	i absolutely refuse to feel insecure about how i look anymore	fear	fear
863	But I do n't want an indignant boyfriend on my doorstep breathing fir	anger	anger
864	i admit i walked into third wave cafe feeling a little apprehensive but what appeared to be a run of the mill cafe turned out to be a restaurant with great personality and even greater food	fear	fear
865	i feel relaxed and can just enjoy it	happy	happy
866	i feel tortured the one thing i love is the one thing that wont support me financially but i cringe when i think of spending years chained to a desk performing a job by wrote with little or no room for creativity or for anything else that matters	anger	anger
867	i feel very inadequate physically	sadness	sadness
868	i dont know where and when i can feel the thrill and im scared that im going to miss it	fear	fear
869	i feel like damaged goods because every time i start to really like someone i get hurt	sadness	sadness
870	i saw that i had the last spot on the tour and that i was going to be wrapping the whole thing up i must admit to feeling a little intimidated	fear	fear
871	i wanna feel good again	happy	happy
872	i was starting to feel scared for both of their safety and i wish those officers hadn t left no matter how much i hated them	fear	fear
873	i feel so violent but im a paper tiger	anger	anger
874	i feel like thats so vital to make your room a reflection of who you are because you will need to feel at home while away from home	happy	happy
875	ive had this urgent feeling to write to you and tell you how the files make me feel but have felt hesitant because of fear as to where it will lead me	fear	fear
876	im feeling cranky after taxation	anger	anger
877	i feel as dirty as fuck	sadness	sadness
878	i walk around the farm i always feel so peaceful i end up smiling from the sheer beauty and rightness of everything	happy	happy
879	i feel disturbed by the more and more unreasonable lie my life is taking towards	sadness	sadness
880	i like doing leaving me feel inadaquate under valued and under appreciated	happy	happy
881	i feel pretty pathetic as an intercessor	sadness	sadness
882	i have been working hard to shake these feelings because being popular or a genre novel or non literary fiction does not make a book any less legitimate or any less something to read and enjoy and analyze	happy	happy
883	i carry the usual guilt of feeling selfish and self centered if i spend time or anything on myself	anger	anger
884	i love rocking her to sleep at nap time during the day and not feeling rushed or exhausted	anger	anger
885	im feeling holly jolly how about you	happy	happy
886	i think this is a valid complaint for those who arent willing to deal with it this aspect i imagine will be rather subjective but it makes sure that the cover based moments still feel dangerous despite being in cover	anger	anger
887	i need a break or im feeling stressed out	anger	anger
888	im ready to start my shots again that two and a half weeks off just flies and im feeling miserable about it the thought that these peeps will be helping me through it makes it a bearable experience to the point where when this whole thing is done and dusted i will actually miss them all	sadness	sadness
889	i feel not for you this savage deal leave me with my speedy clutch leave me with brown sugar lunch	anger	anger
890	im already feeling stressed about salvaging the friendship as time goes by i realize theres also another point that isnt helping	anger	anger
891	im feeling terribly impatient	anger	anger
892	i wish i didnt do butttt semuanya sudah terlambat dan i feel so stupid everytime i think about it and i think about it every time means i feel stupid everytime	sadness	sadness
893	She was irritated , indign	anger	anger
894	i feel pretty lame typing that but my upper body is so weak	sadness	sadness
895	i struggle with feeling so low amp so agitated	sadness	sadness
896	i feel the divine feminine playing out last night also by giving her heart yet not to just all in the universe but to the divine masculine gods to help wake and heal him	happy	happy
897	when i learnt that my best friend had failed the exams	anger	happy
898	i feel just as gloomy about it at the age of as i did when i was	sadness	sadness
899	i also hope you understand why i feel so angry with you when you dont support the hat rule or when you turn up at a school event sans hat yourself	anger	anger
900	i am so sorry you are feeling so sad	sadness	sadness
901	i feel like i m being mentally and emotionally assaulted with something and i just wanted to write that down somewhere	sadness	fear
902	im feeling quite relaxed today	happy	happy
903	i cant continue to be the whipping post for someone who feels lousy about themselves	sadness	sadness
904	i am in no way complaining or whining or feeling ungrateful	sadness	sadness
905	i feel intimidated like i just want to turn around and head back into the safety of my yoga class or hop on the tried and trusty treadmill	fear	fear
906	i kept doing research on bathroom renovations and all that research just resulted in me feeling more confused than ever about to how to go about tackling what to me felt like a mammoth task	fear	fear
907	i can t find anything to feel other than complacent	happy	happy
908	i continued on my way despite feeling a bit strange with my flexy new shoes and sweat soaked back	fear	fear
909	i feel so overwhelmed my heart beats hard i m going as fast as i can and when my husband calls to see how i m doing i crack	fear	fear
